first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
15/03/2020,21/03/2020,0-19,זכר,1199,46,0,,,,
15/03/2020,21/03/2020,0-19,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,0-19,נקבה,991,37,0,,,,
15/03/2020,21/03/2020,20-24,זכר,617,94,0,,,,
15/03/2020,21/03/2020,20-24,לא ידוע,7,0,0,,,,
15/03/2020,21/03/2020,20-24,נקבה,701,48,0,,,,
15/03/2020,21/03/2020,25-29,זכר,562,50,0,,,,
15/03/2020,21/03/2020,25-29,נקבה,757,47,0,,,,
15/03/2020,21/03/2020,25-29,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,30-34,זכר,582,46,0,,,,
15/03/2020,21/03/2020,30-34,נקבה,676,35,0,,,,
15/03/2020,21/03/2020,30-34,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,35-39,זכר,522,46,0,,,,
15/03/2020,21/03/2020,35-39,לא ידוע,7,0,0,,,,
15/03/2020,21/03/2020,35-39,נקבה,537,29,0,,,,
15/03/2020,21/03/2020,40-44,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,40-44,נקבה,438,19,0,,,,
15/03/2020,21/03/2020,40-44,זכר,357,31,0,,,,
15/03/2020,21/03/2020,45-49,לא ידוע,7,0,0,,,,
15/03/2020,21/03/2020,45-49,נקבה,415,16,0,,,,
15/03/2020,21/03/2020,45-49,זכר,326,36,0,,,,
15/03/2020,21/03/2020,50-54,זכר,262,32,0,,,,
15/03/2020,21/03/2020,50-54,נקבה,368,25,0,,,,
15/03/2020,21/03/2020,50-54,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,55-59,זכר,179,16,0,,,,
15/03/2020,21/03/2020,55-59,לא ידוע,7,0,0,,,,
15/03/2020,21/03/2020,55-59,נקבה,364,30,0,,,,
15/03/2020,21/03/2020,60-64,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,60-64,זכר,224,19,0,,,,
15/03/2020,21/03/2020,60-64,נקבה,316,22,0,,,,
15/03/2020,21/03/2020,65-69,נקבה,213,17,0,,,,
15/03/2020,21/03/2020,65-69,זכר,237,28,0,,,,
15/03/2020,21/03/2020,65-69,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,70-74,לא ידוע,7,0,0,,,,
15/03/2020,21/03/2020,70-74,זכר,193,25,0,,,,
15/03/2020,21/03/2020,70-74,נקבה,149,7,0,,,,
15/03/2020,21/03/2020,75-79,זכר,103,7,0,,,,
15/03/2020,21/03/2020,75-79,נקבה,86,7,0,,,,
15/03/2020,21/03/2020,75-79,לא ידוע,0,0,0,,,,
15/03/2020,21/03/2020,80+,זכר,187,7,7,,,,
15/03/2020,21/03/2020,80+,נקבה,222,7,0,,,,
15/03/2020,21/03/2020,80+,לא ידוע,0,0,0,,,,
22/03/2020,28/03/2020,0-19,זכר,2693,213,0,,,,
22/03/2020,28/03/2020,0-19,לא ידוע,7,0,0,,,,
22/03/2020,28/03/2020,0-19,נקבה,2419,168,0,,,,
22/03/2020,28/03/2020,20-24,זכר,1977,207,0,,,,
22/03/2020,28/03/2020,20-24,לא ידוע,7,0,0,,,,
22/03/2020,28/03/2020,20-24,נקבה,2346,168,0,,,,
22/03/2020,28/03/2020,25-29,זכר,1799,151,0,,,,
22/03/2020,28/03/2020,25-29,נקבה,2152,137,0,,,,
22/03/2020,28/03/2020,25-29,לא ידוע,7,0,0,,,,
22/03/2020,28/03/2020,30-34,זכר,1698,118,0,,,,
22/03/2020,28/03/2020,30-34,נקבה,1803,111,0,,,,
22/03/2020,28/03/2020,30-34,לא ידוע,7,0,0,,,,
22/03/2020,28/03/2020,35-39,זכר,1328,120,0,,,,
